source_id;source_name;schema_table;media_source_id;media_source_name;feeds_id;feeds_name
160021;food issues;core_keyword_ids;6;TMDB;14;Food & Cooking
27;football;core_keywords;1;IGDB;11;Sports & Competition
5774;forest;core_keyword_ids;6;TMDB;15;Animals & Nature
70;futuristic warfare;core_keywords;1;IGDB;4;Sci-Fi & Space
4325;game show;core_keyword_ids;6;TMDB;11;Sports & Competition
16;ghosts;core_keywords;1;IGDB;5;Horror & Supernatural
280;go-kart;core_keywords;1;IGDB;13;Cars & Racing
2702;golf;core_keyword_ids;6;TMDB;11;Sports & Competition
30;golf;core_keywords;1;IGDB;11;Sports & Competition
423;gothic;core_keywords;1;IGDB;5;Horror & Supernatural
15032;gothic horror;core_keyword_ids;6;TMDB;5;Horror & Supernatural
6086;government;core_keyword_ids;6;TMDB;17;Politics & Society
149;grand strategy;core_keywords;1;IGDB;22;Strategy & Tactics
2036;greek mythology;core_keyword_ids;6;TMDB;3;Fantasy & Magic
35;greek mythology;core_keywords;1;IGDB;3;Fantasy & Magic
9872;grief;core_keyword_ids;6;TMDB;9;Drama & Emotional
953;guitar;core_keyword_ids;6;TMDB;12;Music & Performance
488;guitar playing;core_keywords;1;IGDB;12;Music & Performance
1419;gun;core_keyword_ids;6;TMDB;1;Action & Combat
650;gymnastics;core_keyword_ids;6;TMDB;11;Sports & Competition
523;harry potter;core_keywords;1;IGDB;3;Fantasy & Magic
3358;haunted house;core_keyword_ids;6;TMDB;5;Horror & Supernatural
198;haunted house;core_keywords;1;IGDB;5;Horror & Supernatural
49755;healing;core_keyword_ids;6;TMDB;9;Drama & Emotional
3721;health;core_keyword_ids;6;TMDB;18;Health & Wellness
10051;heist;core_keyword_ids;6;TMDB;6;Mystery & Crime
243;heist;core_keywords;1;IGDB;6;Mystery & Crime
6270;high school;core_keyword_ids;6;TMDB;20;Kids & Family
15126;historical;core_keyword_ids;6;TMDB;10;History & War
18339;human rights;core_keyword_ids;6;TMDB;17;Politics & Society
64;hunting;core_keywords;1;IGDB;15;Animals & Nature
44;ice hockey;core_keywords;1;IGDB;11;Sports & Competition
161;infection;core_keywords;1;IGDB;5;Horror & Supernatural
5340;investigation;core_keyword_ids;6;TMDB;6;Mystery & Crime
225;investigation;core_keywords;1;IGDB;6;Mystery & Crime
5973;journey around the world;core_keyword_ids;6;TMDB;2;Adventure & Exploration
105;knights;core_keywords;1;IGDB;3;Fantasy & Magic
48;LAN Co-op;steam_categories;5;Steam;25;Social & Party
47;LAN PvP;steam_categories;5;Steam;11;Sports & Competition
43;life simulation;core_keywords;1;IGDB;21;Simulation & Real Life
1635;local co-op;core_keywords;1;IGDB;25;Social & Party
9673;love;core_keyword_ids;6;TMDB;7;Romance & Relationships
10391;mafia;core_keyword_ids;6;TMDB;6;Mystery & Crime
2343;magic;core_keyword_ids;6;TMDB;3;Fantasy & Magic
226;magic;core_keywords;1;IGDB;3;Fantasy & Magic
17974;makeup;core_keyword_ids;6;TMDB;19;Fashion & Beauty
5756;man woman relationship;core_keyword_ids;6;TMDB;7;Romance & Relationships
6038;marriage;core_keyword_ids;6;TMDB;7;Romance & Relationships
779;martial arts;core_keyword_ids;6;TMDB;1;Action & Combat
61;martial arts;core_keywords;1;IGDB;1;Action & Combat
6009;mathematics;core_keyword_ids;6;TMDB;16;Education & Knowledge
167;mech;core_keywords;1;IGDB;4;Sci-Fi & Space
1279;medicine;core_keyword_ids;6;TMDB;18;Health & Wellness
151;medieval;core_keywords;1;IGDB;10;History & War
4232;melancholy;core_keyword_ids;6;TMDB;9;Drama & Emotional
159315;mental health;core_keyword_ids;6;TMDB;18;Health & Wellness
41329;mental illness;core_keyword_ids;6;TMDB;18;Health & Wellness
563;military;core_keywords;1;IGDB;10;History & War
20;MMO;steam_categories;5;Steam;25;Social & Party
1;modern warfare;core_keywords;1;IGDB;10;History & War
98;monsters;core_keywords;1;IGDB;5;Horror & Supernatural
59;motocross;core_keywords;1;IGDB;13;Cars & Racing
14735;motorcycle;core_keyword_ids;6;TMDB;13;Cars & Racing
57;motorcycle;core_keywords;1;IGDB;13;Cars & Racing
1;Multi-player;steam_categories;5;Steam;25;Social & Party
9826;murder;core_keyword_ids;6;TMDB;6;Mystery & Crime
221;murder;core_keywords;1;IGDB;6;Mystery & Crime
1687;music based;core_keywords;1;IGDB;12;Music & Performance
4344;musical;core_keyword_ids;6;TMDB;12;Music & Performance
4048;musician;core_keyword_ids;6;TMDB;12;Music & Performance
2035;mythology;core_keyword_ids;6;TMDB;3;Fantasy & Magic
18330;nature;core_keyword_ids;6;TMDB;15;Animals & Nature
1111;nature;core_keywords;1;IGDB;15;Animals & Nature
809;nba;core_keywords;1;IGDB;11;Sports & Competition
33;nfl;core_keywords;1;IGDB;11;Sports & Competition
164;ninja;core_keywords;1;IGDB;1;Action & Combat
367;norse mythology;core_keywords;1;IGDB;3;Fantasy & Magic
270;ocean;core_keyword_ids;6;TMDB;15;Animals & Nature
988;online co-op;core_keywords;1;IGDB;25;Social & Party
38;Online Co-op;steam_categories;5;Steam;25;Social & Party
36;Online PvP;steam_categories;5;Steam;11;Sports & Competition
96;orcs;core_keywords;1;IGDB;3;Fantasy & Magic
284;organized crime;core_keywords;1;IGDB;6;Mystery & Crime
9853;paranormal;core_keyword_ids;6;TMDB;5;Horror & Supernatural
135;paranormal;core_keywords;1;IGDB;5;Horror & Supernatural
9755;parody;core_keyword_ids;6;TMDB;8;Comedy & Humor
413;parody;core_keywords;1;IGDB;8;Comedy & Humor
816;pets;core_keywords;1;IGDB;15;Animals & Nature
6012;physics;core_keyword_ids;6;TMDB;16;Education & Knowledge
3097;picture puzzle;core_keyword_ids;6;TMDB;23;Puzzle & Brain Games
4;pirates;core_keywords;1;IGDB;2;Adventure & Exploration
4812;plan;core_keyword_ids;6;TMDB;22;Strategy & Tactics
159334;planning;core_keyword_ids;6;TMDB;22;Strategy & Tactics
